Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.3095591536967137,0.9122639300764789,1.0559537932532175,0.7277142857142858
2,0.13833986773717155,0.9622093023255814,0.6654769411768232,0.7782857142857142
3,0.09714413885319635,0.9729299984392071,0.3477486114161355,0.8945714285714286
4,0.07785529298619173,0.9785878726393008,0.2969193598840918,0.9042857142857142
5,0.06504842772235621,0.9817289683159045,0.26517240790809904,0.9262857142857143
6,0.054671676776255465,0.9844310909942251,0.22824000654050283,0.9334285714285714
7,0.04878515036843818,0.9857967847666614,0.19011970574940953,0.9434285714285714
8,0.04412541552489664,0.9869868893397846,0.21903586743559156,0.9282857142857143
9,0.039176262804079265,0.9883428281567036,0.22260221691216742,0.9308571428571428
10,0.03711562592264969,0.9889671453098174,0.16707157624619348,0.9474285714285714
11,0.03488179802595441,0.989513422818792,0.214942884100335,0.9317142857142857
12,0.031231577937182058,0.9903328390822538,0.17917328033276966,0.9437142857142857
13,0.0302630563445223,0.9906547526143281,0.26256092097929545,0.9188571428571428
14,0.026837529797594375,0.9919228968315904,0.1324382162817887,0.9591428571428572
15,0.02692245618724099,0.9916400031215857,0.12416713176454816,0.9571428571428572
