Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.29848935131453974,0.9158147338848135,1.0430426802635193,0.7011428571428572
2,0.13786161392671337,0.9624629311690339,0.9564901242256164,0.73
3,0.10144082203667901,0.9718179335102232,0.49404021028109957,0.836
4,0.08238538706057973,0.9774367878882473,0.4127401357633727,0.868
5,0.07341664565884976,0.9793487591696581,0.34007080973046167,0.8962857142857142
6,0.06539891141161394,0.9812802403621039,0.6042004645126207,0.8225714285714286
7,0.058572834753871095,0.9832800062431716,0.3381203737940107,0.8925714285714286
8,0.0540792257159446,0.9844408459497425,0.20828117757184164,0.9365714285714286
9,0.05032000999937838,0.985543155923209,0.17789936572739057,0.9422857142857143
10,0.04426907029512247,0.9872892929608241,0.28378212101118905,0.9145714285714286
